| Area               | Development                               | Address                                         | Status                       | From Price | Completion | Developer                             | Units | Floors |  PPSF |
| Fort Lauderdale    | Pier Sixty-Six Residences                      | 2301 SE 17th St, Fort Lauderdale, FL                  | Pre-Construction | ~$2M+      | 2026       | Tavistock Development            |    92 |    TBD |  TBD |
| Fort Lauderdale    | Selene Oceanfront Residences                   | 151 N Seabreeze Blvd, Fort Lauderdale, FL             | Completed        | ~$1M+      | 2024       | Kolter Urban                     |   194 |     26 |  TBD |
| Fort Lauderdale    | Sixth and Rio                                  | 501 SE 6th Ave, Fort Lauderdale, FL                   | Pre-Construction | ~$700K+    | 2026       | Dev Motwani                      |    92 |     15 |  TBD |
| Fort Lauderdale    | The Bahia Mar Residences                       | 801 Seabreeze Blvd, Fort Lauderdale, FL               | Pre-Construction | ~$2M+      | TBD        | Related Group                    |   TBD |    TBD |  TBD |
| Fort Lauderdale    | The Edition Hotel & Residences Fort Lauderdale | 551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL | Pre-Construction | ~$3M+      | 2027       | Fort Partners                    |    92 |     11 |  TBD |
| Fort Lauderdale    | The Muse Tower                                 | Fort Lauderdale, FL                                   | Pre-Construction | TBD        | TBD        | TBD                              |   TBD |    TBD |  TBD |
| Fort Lauderdale    | The Terraces Fort Lauderdale                   | Fort Lauderdale, FL                                   | Pre-Construction | TBD        | TBD        | TBD                              |   TBD |    TBD |  TBD |
| Hallandale Beach   | Oasis Hallandale                               | 1100 E Hallandale Beach Blvd, Hallandale Beach, FL | Completed        | ~$600K+    | 2023       | RECHT Group                     |   250 |     26 |  TBD |
| Hallandale Beach   | The Residences at Shell Bay                    | 501 Diplomat Pkwy, Hallandale Beach, FL            | Pre-Construction | ~$2M+      | 2026       | Witkoff / PPG Development       |   108 |     20 |  TBD |
| Hollywood          | Artist Townhomes                               | Hollywood, FL                                      | Pre-Construction | TBD        | TBD        | TBD                             |   TBD |    TBD |  TBD |
| Hollywood          | Hollywood Arts Residences                      | 1735 Van Buren St, Hollywood, FL                   | Pre-Construction | ~$500K+    | 2026       | PMG                             |   TBD |    TBD |  TBD |
| Miami Beach        | 42 Pine Miami Beach                            | 42 Pine Tree Dr, Miami Beach, FL                   | Pre-Construction | ~$2M+      | TBD        | TBD                             |   TBD |    TBD |  TBD |
| Miami Beach        | 72 Park Miami Beach                            | 580 72nd St, Miami Beach, FL                       | Completed        | ~$700K+    | 2023       | Lefferts                        |   216 |     22 |  TBD |
| Miami Beach        | Aman Residences Miami Beach                    | 3425 Collins Ave, Miami Beach, FL                  | Pre-Construction | ~$4M+      | 2027       | OKO Group / Aman                |    56 |     18 |  TBD |
| Miami Beach        | Ella Miami Beach                               | 6310 Collins Ave, Miami Beach, FL                  | Pre-Construction | ~$700K+    | 2026       | The Estate Companies            |    95 |     10 |  TBD |
| Miami Beach        | The Perigon Miami Beach                        | 5333 Collins Ave, Miami Beach, FL                  | Pre-Construction | ~$4M+      | 2026       | Mast Capital / Starwood Capital |    73 |     17 |  TBD |
| Miami Beach        | Twenty-Nine Indian Creek                       | 2900 Indian Creek Dr, Miami Beach, FL              | Pre-Construction | ~$2M+      | TBD        | TBD                             |   TBD |    TBD |  TBD |
| Miami River        | One River Point                                | 24 SW 4th St, Miami, FL                            | Pre-Construction | ~$1M+      | 2027       | Urban Network Capital Group     |   386 |     60 |  TBD |
| Midtown Miami      | The Standard Residences Miami                  | 3100 NE 1st Ave, Miami, FL                         | Pre-Construction | ~$700K+    | 2025/26    | Rosso Development               |   228 |     12 |  TBD |
| North Bay Village  | 7918 West Drive                                | 7918 West Dr, North Bay Village, FL                | Pre-Construction | ~$1M+      | TBD        | TBD                             |   TBD |    TBD |  TBD |
| North Bay Village  | Continuum North Bay Village                    | 1800 79th Street Causeway, North Bay Village, FL   | Pre-Construction | ~$2M+      | 2026       | Continuum Company               |   TBD |    TBD |  TBD |
| North Bay Village  | Shoma Bay                                      | 1850 79th Street Causeway, North Bay Village, FL   | Completed        | ~$700K+    | 2024       | Shoma Group                     |   333 |     24 |  TBD |
| North Miami        | One Park Tower by Turnberry                    | 16385 Biscayne Blvd, North Miami Beach, FL | Completed        | ~$600K+    | 2022       | Turnberry Associates                        |   184 |     33 |  TBD |
| North Miami Beach  | Nexo Residences                                | 13899 Biscayne Blvd, North Miami Beach, FL | Pre-Construction | ~$600K+    | 2026       | Nexo Group                                  |   254 |     15 |  TBD |
| Palm Beach         | Pearl Palm Beach Shores                        | 3105 S Ocean Blvd, Palm Beach Shores, FL   | Pre-Construction | ~$2M+      | TBD        | TBD                                         |   TBD |    TBD |  TBD |
| Palm Beach Gardens | The Ritz-Carlton Residences Palm Beach Gardens | 4300 PGA Blvd, Palm Beach Gardens, FL      | Pre-Construction | ~$2M+      | 2026       | Catalfumo Companies                         |   144 |     11 |  TBD |
| Pompano Beach      | Casamar Pompano Beach                          | 20 N Ocean Blvd, Pompano Beach, FL         | Completed        | ~$1M+      | 2025       | U.S. Development                            |   119 |     21 |  TBD |
| Pompano Beach      | Ritz-Carlton Residences Pompano Beach          | 1380 S Ocean Blvd, Pompano Beach, FL       | Pre-Construction | ~$3M+      | 2027       | Fortune International Group / Oak Capital   |   205 |     32 |  TBD |
| Pompano Beach      | Salato Pompano Beach                           | 405 N Ocean Blvd, Pompano Beach, FL        | Pre-Construction | ~$1M+      | 2026       | U.S. Development                            |    40 |      9 |  TBD |
| Pompano Beach      | Solemar Pompano Beach                          | 1116 N Ocean Blvd, Pompano Beach, FL       | Completed        | ~$1M+      | 2024       | Related Group                               |   105 |     20 |  TBD |
| Pompano Beach      | Waldorf Astoria Residences Pompano Beach       | 1350 S Ocean Blvd, Pompano Beach, FL       | Pre-Construction | ~$2M+      | 2026       | Related Group / Hilton                      |    92 |     20 |  TBD |
| South Beach        | Five Park South Beach                          | 500 Alton Rd, Miami Beach, FL              | Completed        | ~$1.5M+    | 2024       | Terra Group                                 |    98 |     48 |  TBD |
| South Beach        | Shore Club Collection                          | 1901 Collins Ave, Miami Beach, FL          | Pre-Construction | ~$3M+      | 2026       | Witkoff / New Valley                        |    49 |     20 |  TBD |
| South Beach        | Urbin Miami Beach                              | 1260 Washington Ave, Miami Beach, FL       | Pre-Construction | TBD        | TBD        | Urbin                                       |   TBD |    TBD |  TBD |
| Sunny Isles Beach  | Bentley Residences                             | 18401 Collins Ave, Sunny Isles Beach, FL   | Pre-Construction | ~$5M+      | 2027       | Dezer Development / Bentley Motors          |   216 |     63 |  TBD |
| Sunny Isles Beach  | St. Regis Residences Sunny Isles Beach         | 18801 Collins Ave, Sunny Isles Beach, FL   | Completed        | ~$3M+      | 2021       | Fortune International Group / Chateau Group |   246 |     49 |  TBD |
| Surfside           | 93 Ocean                                       | 9301 Collins Ave, Surfside, FL             | Pre-Construction | ~$5M+      | 2025/26    | Stackhouse                                  |    24 |      5 |  TBD |
| Surfside           | Surf Row Residences                            | 8900 Collins Ave, Surfside, FL             | Pre-Construction | ~$2M+      | TBD        | TBD                                         |   TBD |    TBD |  TBD |
| West Palm Beach    | Alba Palm Beach                                | 4715 S Dixie Hwy, West Palm Beach, FL      | Pre-Construction | ~$800K+    | 2026       | Apollo Development                          |    55 |      9 |  TBD |
| West Palm Beach    | Forté on Flagler                               | 3100 S Flagler Dr, West Palm Beach, FL     | Pre-Construction | ~$2M+      | 2027       | Catalfumo Companies                         |    41 |      6 |  TBD |
| West Palm Beach    | La Clara Palm Beach                            | 333 S Flagler Dr, West Palm Beach, FL      | Completed        | ~$2M+      | 2024       | BGI Companies                               |    83 |     25 |  TBD |
| West Palm Beach    | Nautilus 220                                   | 220 S Dixie Hwy, West Palm Beach, FL       | Completed        | ~$600K+    | 2022       | Greenwich Development                       |   249 |     24 |  TBD |
| West Palm Beach    | Olara Residences                               | 1901 N Flagler Dr, West Palm Beach, FL     | Pre-Construction |            |            |                                             |       |        |      |
